ISO,Latitude,Longitude,Source,,,,,,,,,
AFG,33,65,https://af.usembassy.gov/covid-19-information/,,,,,,,,,
ALB,41,20,https://al.usembassy.gov/updates_covid19/,,,,,,,,,
DZA,28,3,https://dz.usembassy.gov/covid-19-information/,,,,,,,,,
AND,42.5,1.6,https://www.gov.uk/foreign-travel-advice/andorra/coronavirus,,,,,,,,,
AGO,-12.5,18.5,https://www.gov.uk/foreign-travel-advice/angola/coronavirus,,,,,,,,,
ATG,17.05,-61.8,https://www.gov.uk/foreign-travel-advice/antigua-and-barbuda/coronavirus,,,,,,,,,
ARG,-34,-64,https://www.gov.uk/foreign-travel-advice/argentina/coronavirus,,,,,,,,,
ARM,40,45,https://am.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
AUS,-27,133,https://www.health.gov.au/news/health-alerts/novel-coronavirus-2019-ncov-health-alert/coronavirus-covid-19-advice-for-travellers,,,,,,,,,
AUT,47.3333,13.3333,https://www.gov.uk/foreign-travel-advice/austria/coronavirus,,,,,,,,,
AZE,40.5,47.5,https://azerbaijan.travel/covid-19-en,,,,,,,,,
BHS,24.25,-76,https://bs.usembassy.gov/covid-19-information/,,,,,,,,, 
BHR,26,50.55,https://bh.usembassy.gov/covid-19-information/,,,,,,,,,
BGD,24,90,https://bd.usembassy.gov/covid-19-information/,,,,,,,,,
BRB,13.1667,-59.5333,https://bb.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
BLR,53,28,https://www.gov.uk/foreign-travel-advice/belarus/coronavirus,,,,,,,,,
BEL,50.8333,4,https://be.usembassy.gov/covid-19-information/,,,,,,,,,
BLZ,17.25,-88.75,https://www.iata.org/contentassets/c93162d8929f4cf9bf791672f716acbd/belize-ncov-measures.pdf,,,,,,,,,
BEN,9.5,2.25,https://bj.usembassy.gov/info-covid19/,,,,,,,,,
BTN,27.5,90.5,https://www.gov.uk/foreign-travel-advice/bhutan/coronavirus,,,,,,,,,
BOL,-17,-65,https://bo.usembassy.gov/covid-19-information/,,,,,,,,,
BIH,44,18,https://ba.usembassy.gov/covid-19-information/,,,,,,,,,
BWA,-22,24,https://bw.usembassy.gov/covid-19-information/,,,,,,,,,
BRA,-10,-55,https://br.usembassy.gov/covid-19-information/,,,,,,,,,
BRN,4.5,114.6667,https://bn.usembassy.gov/u-s-citizen-services-covid-19-information/,,,,,,,,,
BGR,43,25,https://bg.usembassy.gov/novel-coronavirus-covid-19-information/,,,,,,,,,
BFA,13,-2,https://bf.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
BDI,-3.5,30,https://www.gov.uk/foreign-travel-advice/burundi/coronavirus,,,,,,,,,
KHM,13,105,https://kh.usembassy.gov/covid-19-information/,,,,,,,,,
CMR,6,12,https://cm.usembassy.gov/covid-19-information/,,,,,,,,,
CAN,60,-95,https://www.canada.ca/en/immigration-refugees-citizenship/services/coronavirus-covid19/travel-restrictions-exemptions.html,,,,,,,,,
CPV,16,-24,https://cv.usembassy.gov/covid-19-information/,,,,,,,,,
CAF,7,21,https://cf.usembassy.gov/covid-19-information/,,,,,,,,,
TCD,15,19,https://td.usembassy.gov/covid-19-information/,,,,,,,,,
CHL,-30,-71,https://cl.usembassy.gov/covid-19-information/,,,,,,,,,
CHN,35,105,https://www.gov.uk/foreign-travel-advice/china/coronavirus,,,,,,,,,
COL,4,-72,https://co.usembassy.gov/covid-19-information/,,,,,,,,,
COM,-12.1667,44.25,https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/,,,,,,,,,
COG,-1,15,https://cg.usembassy.gov/covid-19-information/,,,,,,,,,
COD,0,25,https://cd.usembassy.gov/covid-19-information/,,,,,,,,,
CRI,10,-84,https://cr.usembassy.gov/covid-19-information/,,,,,,,,,
CIV,8,-5,https://ci.usembassy.gov/covid-19-information/,,,,,,,,,
HRV,45.1667,15.5,https://www.gov.uk/foreign-travel-advice/croatia/coronavirus,,,,,,,,,
CUB,21.5,-80,https://cu.usembassy.gov/covid-19-information/,,,,,,,,,
CYP,35,33,https://www.gov.uk/foreign-travel-advice/cyprus/coronavirus,,,,,,,,,
CZE,49.75,15.5,https://www.mvcr.cz/mvcren/article/coronavirus-information-of-moi.aspx,,,,,,,,,
DNK,56,10,https://um.dk/en/travel-and-residence/coronavirus-covid-19/,,,,,,,,,
DJI,11.5,43,https://www.gov.uk/foreign-travel-advice/djibouti/coronavirus,,,,,,,,,
DMA,15.4167,-61.3333,https://www.gov.uk/foreign-travel-advice/dominica/coronavirus,,,,,,,,,
DOM,19,-70.6667,https://do.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
ECU,-2,-77.5,https://www.gov.uk/foreign-travel-advice/ecuador/coronavirus,,,,,,,,,
EGY,27,30,https://www.gov.uk/foreign-travel-advice/egypt/coronavirus,,,,,,,,,
